,geometry,EV_stations_counts,EV_stations_geomery,population,landuse,nodes,edges,density,parking_count,parking_types,restaurant_count,library_count,university_count,school_count,park_count,townhall_count,Community_centre_count,government_count,civic_count,commercial_count,retail_count,place_of_worship_count
48,"POLYGON ((6.895368583614831 49.213548622620436, 6.895481718942848 49.21088470845804, 6.894507100000001 49.2101115, 6.8934779 49.20934529999999, 6.893213800000001 49.2091518, 6.89303588507229 49.20905597997976, 6.8918212294784675 49.20903380707906, 6.8909943 49.2092501, 6.8904294 49.209506100000006, 6.888778108535343 49.21004663366978, 6.888634146273954 49.21342566694531, 6.895368583614831 49.213548622620436))",0.0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
49,"POLYGON ((6.89303588507229 49.20905597997976, 6.892611100000001 49.208827199999995, 6.8918212294784675 49.20903380707906, 6.89303588507229 49.20905597997976))",0.0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
50,"POLYGON ((6.894031772305395 49.24499568821029, 6.8940671 49.2449996, 6.8941753 49.24484189999999, 6.8962215 49.245063099999996, 6.896273599999999 49.24537480000001, 6.899444500000001 49.24506869999999, 6.899514800000001 49.2452064, 6.9001242 49.24510519999999, 6.900082200000001 49.245581699999995, 6.9003885 49.245826100000016, 6.900536700000002 49.245949399999986, 6.9006399 49.24612419999999, 6.900670400000001 49.246229699999994, 6.900586400000001 49.24658989999998, 6.9003626 49.24680169999999, 6.900232500000002 49.2470074, 6.900692461069144 49.246958954002366, 6.900784122175398 49.24479778736807, 6.894045412689024 49.24467509028212, 6.894031772305395 49.24499568821029))",0.0,[],3.0319962826191027,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
51,"POLYGON ((6.900784122175398 49.24479778736807, 6.900972682154161 49.24035114194193, 6.894234576876836 49.24022846398333, 6.894045412689024 49.24467509028212, 6.900784122175398 49.24479778736807))",0.0,[],4.013376674564996,Other,9,17,0.2361111111111111,0,{},0,0,0,0,0,0,0,0,0,0,0,0
52,"POLYGON ((6.900972682154161 49.24035114194193, 6.901161195666913 49.235904492539504, 6.894423694450036 49.23578183370484, 6.894234576876836 49.24022846398333, 6.900972682154161 49.24035114194193))",0.0,[],4.013376674564996,Other,9,18,0.25,0,{},0,0,0,0,0,0,0,0,0,0,0,0
53,"POLYGON ((6.901161195666913 49.235904492539504, 6.9013496627284106 49.231457839160896, 6.894612765423432 49.23133519944675, 6.894423694450036 49.23578183370484, 6.901161195666913 49.235904492539504))",0.0,[],4.013376674564996,Other,8,14,0.25,0,{},0,0,0,0,0,0,0,0,0,0,0,0
54,"POLYGON ((6.9013496627284106 49.231457839160896, 6.901538083353407 49.227011181806205, 6.89480178981182 49.22688856120918, 6.894612765423432 49.23133519944675, 6.9013496627284106 49.231457839160896))",0.0,[],4.013376674564995,Other,9,16,0.2222222222222222,8,"{'street_side': 5, 'surface': 3}",2,0,0,3,2,0,2,0,0,1,0,3
55,"POLYGON ((6.901538083353407 49.227011181806205, 6.901726457556647 49.22256452047552, 6.894990767629993 49.22244191899219, 6.89480178981182 49.22688856120918, 6.901538083353407 49.227011181806205))",0.0,[],4.013376674564996,Other,12,22,0.16666666666666666,0,{},0,0,0,0,0,0,0,0,0,0,0,0
56,"POLYGON ((6.901726457556647 49.22256452047552, 6.901914785352869 49.21811785516895, 6.895179698892737 49.217995272795925, 6.894990767629993 49.22244191899219, 6.901726457556647 49.22256452047552))",0.0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
57,"POLYGON ((6.901914785352869 49.21811785516895, 6.90209450607985 49.213873388498264, 6.900735061299909 49.21364632089361, 6.895368583614831 49.213548622620436, 6.895179698892737 49.217995272795925, 6.901914785352869 49.21811785516895))",0.0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
