,geometry,EV_stations_counts,EV_stations_geomery,population,landuse,nodes,edges,density,parking_count,parking_types,restaurant_count,library_count,university_count,school_count,park_count,townhall_count,Community_centre_count,government_count,civic_count,commercial_count,retail_count,place_of_worship_count
10,"POLYGON ((8.156795864503295 49.978126236349205, 8.15687240014277 49.97374663421158, 8.15002415001932 49.97369666037561, 8.149946992905708 49.97807625480666, 8.156795864503295 49.978126236349205))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,1,0,0
11,"POLYGON ((8.15687240014277 49.97374663421158, 8.156948916978562 49.969367028663825, 8.150101288176609 49.96931706253304, 8.15002415001932 49.97369666037561, 8.15687240014277 49.97374663421158))",0,[],6.953168613162309,Other,3,5,0.8333333333333334,3,{'surface': 2},1,0,0,0,1,0,0,0,0,0,0,0
12,"POLYGON ((8.156948916978562 49.969367028663825, 8.157025415016676 49.9649874197059, 8.150178407383631 49.964937461278886, 8.150101288176609 49.96931706253304, 8.156948916978562 49.969367028663825))",0,[],6.953168613162307,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
13,"POLYGON ((8.157025415016676 49.9649874197059, 8.157029532100525 49.96475168086117, 8.1551579 49.964554199999995, 8.1548704 49.9644816, 8.1546703 49.96440909999999, 8.1528436 49.96423589999999, 8.1522687 49.9642639, 8.1513613 49.964271700000005, 8.150193391014803 49.964086415327984, 8.150178407383631 49.964937461278886, 8.157025415016676 49.9649874197059))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
14,"POLYGON ((8.156490194886153 49.99560682267965, 8.156646209933433 49.995645749745066, 8.163340911963617 49.99569421866755, 8.163416900786638 49.991314622519965, 8.156566144702673 49.991265022302024, 8.156490194886153 49.99560682267965))",0,[],6.953168613162307,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
15,"POLYGON ((8.156646209933433 49.995645749745066, 8.1567927 49.99568229999999, 8.1579448 49.9960033, 8.1575 49.99641819999999, 8.1571136 49.9968638, 8.1567456 49.997315799999996, 8.156452179206042 49.99777965514172, 8.1564129040403 50.000024195887846, 8.163264904459732 50.00007381140673, 8.163340911963617 49.99569421866755, 8.156646209933433 49.995645749745066))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
16,"POLYGON ((8.1564129040403 50.000024195887846, 8.156411515142922 50.00010356494316, 8.1566449 50.0003304, 8.1567583 50.000681699999994, 8.1566244 50.0010453, 8.156387090404785 50.001499267691784, 8.15638295822158 50.00173538217827, 8.1574218 50.0019121, 8.1586903 50.002268699999995, 8.1622951 50.0033148, 8.1625021 50.00337489999999, 8.16320721056731 50.00339744324788, 8.163264904459732 50.00007381140673, 8.1564129040403 50.000024195887846))",0,[],6.953168613162307,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,1
17,"POLYGON ((8.163416900786638 49.991314622519965, 8.163492870934764 49.98693502296391, 8.156642736789257 49.98688543039437, 8.156566144702673 49.991265022302024, 8.163416900786638 49.991314622519965))",0,[],6.953168613162307,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
18,"POLYGON ((8.163492870934764 49.98693502296391, 8.16356882241396 49.9825554199993, 8.156719310054125 49.98250583507677, 8.156642736789257 49.98688543039437, 8.163492870934764 49.98693502296391))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
19,"POLYGON ((8.16356882241396 49.9825554199993, 8.163644755230196 49.978175813626095, 8.156795864503295 49.978126236349205, 8.156719310054125 49.98250583507677, 8.16356882241396 49.9825554199993))",0,[],6.953168613162307,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,1,0
20,"POLYGON ((8.163644755230196 49.978175813626095, 8.163720669389429 49.9737962038442, 8.15687240014277 49.97374663421158, 8.156795864503295 49.978126236349205, 8.163644755230196 49.978175813626095))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
21,"POLYGON ((8.163720669389429 49.9737962038442, 8.163796564897618 49.96941659065359, 8.156948916978562 49.969367028663825, 8.15687240014277 49.97374663421158, 8.163720669389429 49.9737962038442))",0,[],6.953168613162307,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
22,"POLYGON ((8.163796564897618 49.96941659065359, 8.163858895392758 49.96581895029505, 8.1633722 49.9657541, 8.1619674 49.96548709999999, 8.1610285 49.96533110000001, 8.1604936 49.9651171, 8.159429537003723 49.96500486523231, 8.157025415016676 49.9649874197059, 8.156948916978562 49.969367028663825, 8.163796564897618 49.96941659065359))",0,[],6.953168613162308,Other,0,0,0.0,1,{},0,0,0,0,0,0,0,0,0,0,0,0
23,"POLYGON ((8.159429537003723 49.96500486523231, 8.157029532100525 49.96475168086117, 8.157025415016676 49.9649874197059, 8.159429537003723 49.96500486523231))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
24,"POLYGON ((8.16320721056731 50.00339744324788, 8.1634655 50.0034057, 8.1645348 50.00343989999999, 8.1653217 50.00345190000001, 8.1661396 50.0035049, 8.1672504 50.0036878, 8.1677843 50.0038368, 8.1686035 50.0036769, 8.169624 50.003565899999984, 8.170057534807402 50.00357254437704, 8.170116923883539 50.00012302234548, 8.163264904459732 50.00007381140673, 8.16320721056731 50.00339744324788))",0,[],6.953168613162307,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
25,"POLYGON ((8.170116923883539 50.00012302234548, 8.170192309137171 49.995743422017526, 8.163340911963617 49.99569421866755, 8.163264904459732 50.00007381140673, 8.170116923883539 50.00012302234548))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
26,"POLYGON ((8.170192309137171 49.995743422017526, 8.17026767586283 49.99136381828253, 8.163416900786638 49.991314622519965, 8.163340911963617 49.99569421866755, 8.170192309137171 49.995743422017526))",0,[],6.9531686131623065,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
27,"POLYGON ((8.17026767586283 49.99136381828253, 8.17034302406643 49.98698421114041, 8.163492870934764 49.98693502296391, 8.163416900786638 49.991314622519965, 8.17026767586283 49.99136381828253))",0,[],6.9531686131623065,Other,16,34,0.14166666666666666,9,{'lane': 8},0,0,0,0,1,0,0,0,0,0,0,0
28,"POLYGON ((8.17034302406643 49.98698421114041, 8.170418353753893 49.98260460059113, 8.16356882241396 49.9825554199993, 8.163492870934764 49.98693502296391, 8.17034302406643 49.98698421114041))",0,[],6.953168613162307,Other,23,53,0.10474308300395258,11,"{'surface': 2, 'street_side': 2}",0,0,0,1,0,0,0,0,0,0,0,0
