,geometry,EV_stations_counts,EV_stations_geomery,population,landuse,nodes,edges,density,parking_count,parking_types,restaurant_count,library_count,university_count,school_count,park_count,townhall_count,Community_centre_count,government_count,civic_count,commercial_count,retail_count,place_of_worship_count
157,"POLYGON ((8.56403479058937 50.03732713988007, 8.56407466129221 50.03292346954721, 8.557107118550777 50.032897089606784, 8.557066610631331 50.03730075584766, 8.56403479058937 50.03732713988007))",0,[],9.014050981911808,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
158,"POLYGON ((8.56407466129221 50.03292346954721, 8.564114522135641 50.02851979583149, 8.557147616453257 50.02849341998229, 8.557107118550777 50.032897089606784, 8.56407466129221 50.03292346954721))",0,[],9.014050981911806,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
159,"POLYGON ((8.564114522135641 50.02851979583149, 8.564133631704635 50.02640825619443, 8.5630137 50.0266332, 8.5615682 50.0262552, 8.5590402 50.025833699999986, 8.5575722 50.0260158, 8.5572181 50.02599059999999, 8.557170659922663 50.02598722653311, 8.557147616453257 50.02849341998229, 8.564114522135641 50.02851979583149))",0,[],9.014050981911806,Other,0,0,0.0,2,"{'surface': 1, 'multi-storey': 1}",0,0,0,0,0,0,0,0,0,0,0,0
160,"POLYGON ((8.56322083833019 50.12698905723778, 8.564003 50.127311, 8.5640487 50.12733099999999, 8.5640877 50.12734809999999, 8.5641177 50.12731749999999, 8.565202 50.12777739999999, 8.5653544 50.127842, 8.5653555 50.1278395, 8.567173300000002 50.128600599999984, 8.5683003 50.129083299999984, 8.5683107 50.12908680000001, 8.5693282 50.12951509999999, 8.5693936 50.12954249999999, 8.57007146648176 50.129829095987596, 8.570176830982286 50.129829486013875, 8.570216268927279 50.12542588265808, 8.563235301161017 50.125399836273424, 8.56322083833019 50.12698905723778))",0,[],9.014050981911806,Other,7,11,0.2619047619047619,4,"{'surface': 2, 'street_side': 1, 'multi-storey': 1}",0,0,0,0,1,0,0,0,0,0,1,0
161,"POLYGON ((8.57007146648176 50.129829095987596, 8.570176436966456 50.12987347592564, 8.570176830982286 50.129829486013875, 8.57007146648176 50.129829095987596))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
162,"POLYGON ((8.570216268927279 50.12542588265808, 8.570255697104574 50.12102227592201, 8.563275369720117 50.12099623357917, 8.563235301161017 50.125399836273424, 8.570216268927279 50.12542588265808))",0,[],9.014050981911808,Other,16,34,0.14166666666666666,4,{'multi-storey': 2},0,0,0,0,0,0,2,0,0,0,0,2
163,"POLYGON ((8.570255697104574 50.12102227592201, 8.570295115517323 50.116618665805596, 8.563315428356091 50.11659262750383, 8.563275369720117 50.12099623357917, 8.570255697104574 50.12102227592201))",0,[],9.014050981911808,Other,19,34,0.09941520467836257,2,{'surface': 2},3,1,0,0,0,0,0,0,0,0,0,2
164,"POLYGON ((8.570295115517323 50.116618665805596, 8.570334524168672 50.112215052308734, 8.563355477072136 50.112189018047296, 8.563315428356091 50.11659262750383, 8.570295115517323 50.116618665805596))",0,[],9.014050981911806,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
165,"POLYGON ((8.570334524168672 50.112215052308734, 8.570373923061766 50.10781143543133, 8.563395515871454 50.10778540520949, 8.563355477072136 50.112189018047296, 8.570334524168672 50.112215052308734))",0,[],9.014050981911812,Other,5,8,0.4,1,{},0,0,0,0,0,0,0,0,0,0,0,0
166,"POLYGON ((8.570373923061766 50.10781143543133, 8.570413312199754 50.103407815173306, 8.563435544757237 50.10338178899033, 8.563395515871454 50.10778540520949, 8.570373923061766 50.10781143543133))",0,[],9.014050981911806,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
167,"POLYGON ((8.570413312199754 50.103407815173306, 8.57045269158578 50.09900419153458, 8.56347556373268 50.09897816938973, 8.563435544757237 50.10338178899033, 8.570413312199754 50.103407815173306))",0,[],9.01405098191181,Other,24,52,0.09420289855072464,2,{'surface': 2},1,0,0,1,1,0,1,0,0,0,1,1
168,"POLYGON ((8.57045269158578 50.09900419153458, 8.570492061222987 50.09460056451506, 8.56351557280098 50.09457454640759, 8.56347556373268 50.09897816938973, 8.57045269158578 50.09900419153458))",0,[],9.014050981911808,Other,7,8,0.19047619047619047,5,"{'surface': 4, 'yes': 1}",3,0,0,0,0,0,0,0,0,0,0,2
