,geometry,EV_stations_counts,EV_stations_aperage,EV_stations_voltage,EV_stations_capacity,EV_stations_geomery,population,landuse,nodes,edges,density,parking_count,parking_types,restaurant_count,library_count,Community_centre_count,school_count,university_count,park_count,townhall_count,government_count,civic_count,commercial_count,retail_count,place_of_worship_count
2130,"POLYGON ((13.444420554158345 52.492006450311756, 13.444578029967031 52.48754389066721, 13.437251480452177 52.48744732945436, 13.437093263614882 52.491909873624664, 13.444420554158345 52.492006450311756))",0,[],[],[],[],10.022101410748055,Other,15,31,0.14761904761904762,39,"{'street_side': 30, 'surface': 5, 'on_kerb': 1, 'shoulder': 1, 'multi-storey': 1, 'lane': 1}",1,0,1,0,0,1,0,0,0,0,1,0
2131,"POLYGON ((13.444578029967031 52.48754389066721, 13.444735464490797 52.48308132730408, 13.437409655810503 52.482984781562365, 13.437251480452177 52.48744732945436, 13.444578029967031 52.48754389066721))",1,[[nan]],[[nan]],[['2']],[[<POINT (13.444 52.484)>]],10.022101410748055,Other,16,30,0.125,45,"{'surface': 39, 'street_side': 3, 'lane': 2, 'carports': 1}",5,0,0,1,0,0,0,0,0,0,1,0
2132,"POLYGON ((13.444735464490797 52.48308132730408, 13.444892857744073 52.478618760222325, 13.437567789704355 52.4785222299486, 13.437409655810503 52.482984781562365, 13.444735464490797 52.48308132730408))",2,"[[nan], [nan]]","[[nan], [nan]]","[['2'], ['2']]","[[<POINT (13.441 52.482)>], [<POINT (13.44 52.48)>]]",10.022101410748053,residential,27,53,0.0754985754985755,21,"{'surface': 11, 'street_side': 5, 'lane': 3, 'rooftop': 1, 'underground': 1}",12,0,0,0,0,0,0,0,0,1,3,1
2133,"POLYGON ((13.444892857744073 52.478618760222325, 13.445050209741272 52.47415618942189, 13.437725882148214 52.47405967461307, 13.437567789704355 52.4785222299486, 13.444892857744073 52.478618760222325))",2,"[[nan], [nan]]","[[nan], [nan]]","[['1'], ['1']]","[[<POINT (13.443 52.478)>], [<POINT (13.443 52.478)>]]",10.022101410748055,Other,17,29,0.10661764705882353,28,"{'street_side': 13, 'surface': 8, 'lane': 5, 'underground': 1, 'carports': 1}",11,0,0,1,0,0,0,0,0,0,2,6
2134,"POLYGON ((13.445050209741272 52.47415618942189, 13.445207520496805 52.46969361490281, 13.437883933156563 52.469597115555764, 13.437725882148214 52.47405967461307, 13.445050209741272 52.47415618942189))",1,[['32']],[[nan]],[['2']],[[<POINT (13.444 52.47)>]],10.022101410748055,Other,30,63,0.07241379310344828,38,"{'surface': 19, 'street_side': 12, 'lane': 5, 'carports': 1, 'rooftop': 1}",4,0,0,0,0,0,0,0,1,0,5,2
2135,"POLYGON ((13.445207520496805 52.46969361490281, 13.445364790025074 52.46523103666501, 13.438041942743869 52.46513455277662, 13.437883933156563 52.469597115555764, 13.445207520496805 52.46969361490281))",0,[],[],[],[],10.022101410748055,Other,20,49,0.12894736842105264,20,"{'surface': 10, 'street_side': 8, 'carports': 1, 'rooftop': 1}",0,0,0,1,0,0,0,0,0,1,7,1
2136,"POLYGON ((13.445364790025074 52.46523103666501, 13.445522018340482 52.4607684547085, 13.438199910924599 52.46067198627567, 13.438041942743869 52.46513455277662, 13.445364790025074 52.46523103666501))",1,[[nan]],[[nan]],[['2']],[[<POINT (13.442 52.465)>]],10.022101410748053,commercial,29,53,0.06527093596059114,27,"{'surface': 20, 'lane': 3, 'carports': 2, 'carport': 1, 'street_side': 1}",2,0,1,0,0,0,0,0,0,32,0,1
2137,"POLYGON ((13.445522018340482 52.4607684547085, 13.445679205457411 52.45630586903324, 13.438357837713207 52.45620941605284, 13.438199910924599 52.46067198627567, 13.445522018340482 52.4607684547085))",1,[[nan]],[[nan]],[['2']],[[<POINT (13.443 52.457)>]],10.022101410748055,Other,12,24,0.18181818181818182,10,"{'lane': 5, 'surface': 5}",0,0,0,0,0,0,0,0,0,0,2,0
2138,"POLYGON ((13.445679205457411 52.45630586903324, 13.445836351390248 52.45184327963921, 13.438515723124144 52.45174684210815, 13.438357837713207 52.45620941605284, 13.445679205457411 52.45630586903324))",0,[],[],[],[],10.022101410748053,Other,16,25,0.10416666666666667,10,"{'surface': 7, 'underground': 1, 'multi-storey': 1, 'street_side': 1}",1,0,2,1,0,1,0,1,1,0,2,1
2139,"POLYGON ((13.445836351390248 52.45184327963921, 13.44599345615337 52.447380686526394, 13.438673567171858 52.44728426444154, 13.438515723124144 52.45174684210815, 13.445836351390248 52.45184327963921))",0,[],[],[],[],10.022101410748053,Other,3,4,0.6666666666666666,5,{'surface': 5},0,0,0,0,0,0,0,0,0,0,0,1
