,geometry,EV_stations_counts,EV_stations_geomery,population,landuse,nodes,edges,density,parking_count,parking_types,restaurant_count,library_count,university_count,school_count,park_count,townhall_count,Community_centre_count,government_count,civic_count,commercial_count,retail_count,place_of_worship_count
674,"POLYGON ((8.487278836552614 48.98939134261872, 8.48732439212272 48.984951080739535, 8.480552489077649 48.98492078964708, 8.480506331832128 48.98936104681635, 8.487278836552614 48.98939134261872))",0,[],5.5356135227146135,Other,3,4,0.6666666666666666,0,{},0,0,0,0,0,0,0,0,0,0,0,0
675,"POLYGON ((8.48732439212272 48.984951080739535, 8.487369936528818 48.9805108153937, 8.480598635011736 48.980480529010315, 8.480552489077649 48.98492078964708, 8.48732439212272 48.984951080739535))",0,[],5.5356135227146135,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
676,"POLYGON ((8.487369936528818 48.9805108153937, 8.487415469774433 48.97607054658114, 8.480644769637951 48.976040264906004, 8.480598635011736 48.980480529010315, 8.487369936528818 48.9805108153937))",0,[],5.535613522714614,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
677,"POLYGON ((8.487415469774433 48.97607054658114, 8.487460991863076 48.9716302743018, 8.48069089295986 48.97159999733408, 8.480644769637951 48.976040264906004, 8.487415469774433 48.97607054658114))",0,[],5.535613522714614,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
678,"POLYGON ((8.487460991863076 48.9716302743018, 8.487506502798261 48.96718999855561, 8.480737004981016 48.96715972629447, 8.48069089295986 48.97159999733408, 8.487460991863076 48.9716302743018))",0,[],5.535613522714614,Other,4,6,0.5,0,{},0,0,0,0,0,0,0,0,0,0,0,0
679,"POLYGON ((8.487506502798261 48.96718999855561, 8.487552002583502 48.96274971934251, 8.480783105704983 48.96271945178712, 8.480737004981016 48.96715972629447, 8.487506502798261 48.96718999855561))",0,[],5.5356135227146135,Other,12,22,0.16666666666666666,8,"{'street_side': 7, 'surface': 1}",0,0,0,0,0,0,0,0,0,0,0,0
680,"POLYGON ((8.487552002583502 48.96274971934251, 8.48759749122231 48.95830943666242, 8.48082919513532 48.958279173811945, 8.480783105704983 48.96271945178712, 8.487552002583502 48.96274971934251))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
681,"POLYGON ((8.48759749122231 48.95830943666242, 8.487642968718195 48.95386915051527, 8.480875273275577 48.953838892368886, 8.48082919513532 48.958279173811945, 8.48759749122231 48.95830943666242))",0,[],5.5356135227146135,Other,3,5,0.8333333333333334,2,{'surface': 2},0,0,0,0,0,0,0,0,0,0,0,0
682,"POLYGON ((8.487642968718195 48.95386915051527, 8.487688435074665 48.949428860901, 8.480921340129312 48.94939860745789, 8.480875273275577 48.953838892368886, 8.487642968718195 48.95386915051527))",0,[],5.5356135227146135,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
683,"POLYGON ((8.487688435074665 48.949428860901, 8.487733890295221 48.94498856781954, 8.480967395700079 48.94495831907886, 8.480921340129312 48.94939860745789, 8.487688435074665 48.949428860901))",0,[],5.5356135227146135,Other,18,40,0.13071895424836602,0,{},0,1,0,0,1,1,0,0,1,0,0,1
684,"POLYGON ((8.487733890295221 48.94498856781954, 8.487768478457836 48.941609092121645, 8.4875889 48.94158379999999, 8.4876157 48.9415345, 8.4867226 48.941449899999995, 8.4864517 48.9414358, 8.4826644 48.941457, 8.4816317 48.94136889999999, 8.481005481137894 48.94128561910446, 8.480967395700079 48.94495831907886, 8.487733890295221 48.94498856781954))",0,[],5.535613522714614,Other,20,39,0.10263157894736842,1,{'street_side': 1},0,0,0,0,0,0,0,0,0,0,0,0
685,"POLYGON ((8.486574401192291 49.05791338656413, 8.4867727 49.057692599999996, 8.4868311 49.0575901, 8.486986 49.0573817, 8.4871248 49.05724940000001, 8.4872795 49.056921, 8.4873173 49.0566844, 8.4874824 49.05630689999999, 8.487692772276922 49.05599973673091, 8.48659416092424 49.055994854854816, 8.486574401192291 49.05791338656413))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
686,"POLYGON ((8.487692772276922 49.05599973673091, 8.487733 49.05594099999999, 8.4884119 49.055289, 8.4895997 49.05418219999999, 8.4898987 49.05351120000001, 8.4902226 49.0530993, 8.4903366 49.0529843, 8.4904996 49.0525453, 8.4907196 49.0520384, 8.4909553 49.05164609999999, 8.490998459914625 49.05157395022623, 8.486639884377501 49.05155464496718, 8.48659416092424 49.055994854854816, 8.487692772276922 49.05599973673091))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
687,"POLYGON ((8.490998459914625 49.05157395022623, 8.4911542 49.0513136, 8.4912522 49.05125279999999, 8.4915876 49.05101489999999, 8.4918199 49.05082769999999, 8.4924553 49.0503826, 8.4933262 49.0494707, 8.493443489677396 49.04935517929815, 8.493465947850302 49.04714439039039, 8.48668559661382 49.04711443161394, 8.486639884377501 49.05155464496718, 8.490998459914625 49.05157395022623))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
688,"POLYGON ((8.493465947850302 49.04714439039039, 8.49351104527339 49.04270416891266, 8.486731297636732 49.04267421479502, 8.48668559661382 49.04711443161394, 8.493465947850302 49.04714439039039))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
689,"POLYGON ((8.49351104527339 49.04270416891266, 8.493556131634652 49.03826394396998, 8.486776987449778 49.03823399451033, 8.486731297636732 49.04267421479502, 8.49351104527339 49.04270416891266))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
690,"POLYGON ((8.493556131634652 49.03826394396998, 8.493601206937575 49.033823715562285, 8.486822666056495 49.0337937707598, 8.486776987449778 49.03823399451033, 8.493556131634652 49.03826394396998))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
691,"POLYGON ((8.493601206937575 49.033823715562285, 8.493646271185648 49.029383483689514, 8.486868333460418 49.02935354354337, 8.486822666056495 49.0337937707598, 8.493601206937575 49.033823715562285))",0,[],5.535613522714617,Other,4,6,0.5,0,{},0,0,0,0,0,0,0,0,0,0,0,0
692,"POLYGON ((8.493646271185648 49.029383483689514, 8.493691324382361 49.02494324835161, 8.48691398966508 49.02491331286098, 8.486868333460418 49.02935354354337, 8.493646271185648 49.029383483689514))",0,[],5.535613522714614,Other,2,2,1.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
693,"POLYGON ((8.493691324382361 49.02494324835161, 8.493736366531197 49.02050300954847, 8.486959634674015 49.02047307871254, 8.48691398966508 49.02491331286098, 8.493691324382361 49.02494324835161))",0,[],5.5356135227146135,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
694,"POLYGON ((8.493736366531197 49.02050300954847, 8.493781397635644 49.01606276728007, 8.487005268490755 49.016032841097996, 8.486959634674015 49.02047307871254, 8.493736366531197 49.02050300954847))",0,[],5.535613522714615,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
695,"POLYGON ((8.493781397635644 49.01606276728007, 8.49382641769918 49.01162252154629, 8.487050891118828 49.01159260001728, 8.487005268490755 49.016032841097996, 8.493781397635644 49.01606276728007))",0,[],5.5356135227146135,Other,3,4,0.6666666666666666,4,{'surface': 4},0,0,0,0,1,0,0,0,0,0,0,0
696,"POLYGON ((8.49382641769918 49.01162252154629, 8.49387142672529 49.00718227234712, 8.487096502561764 49.00715235547034, 8.487050891118828 49.01159260001728, 8.49382641769918 49.01162252154629))",0,[],5.5356135227146135,Other,47,98,0.045328399629972246,7,"{'street_side': 5, 'underground': 1, 'surface': 1}",0,0,0,0,0,0,0,0,0,0,0,1
